,LOCATION,TIME,SP_DYN_TFRT_IN,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,SP_POP_GROW,SH_DYN_AIDS_ZS,SP_RUR_TOTL_ZS,NY_GDP_MKTP_CN,NY_GDP_MKTP_CD,NY_GDP_DEFL_ZS,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_PP_CD,NY_GDP_MKTP_PP_CD,XTGOV_IMF,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,SI_POV_DDAY,PA_NUS_PPP,DT_TDS_DECT_GN_ZS,200101,200151,200345,200343,200144,NY_GNP_PCAP_CN,NY_GDP_MKTP_KD,PA_NUS_PPPC_RF,PA_NUS_FCRF,NY_GDP_MKTP_KN,PA_NUS_ATLS,PA_NUS_PRVT_PP,NY_GNP_MKTP_CN,NY_GDP_PCAP_PP_KD,NY_GDP_MKTP_PP_KD,NY_GDP_PCAP_CN,poverty
18,AUS,1988,1.831,76.43268,8.4,1.63621,NA,14.507,323946000000.0,235699941792.78198,46.24926,5.68105,14257.022159999999,NA,NA,106055000000.0,14090.0,NA,NA,NA,NA,16452.255,1764.59,8241.065999999999,3727.402,2719.197,19223.27337,569473298287.268,NA,1.27991,700435000000.0,1.3744,NA,317803000000.0,NA,NA,19594.85126,False
19,AUS,1989,1.838,76.71366,8.0,1.6925700000000001,NA,14.537,367592000000.0,299317645142.904,50.52637,3.8676,17801.26827,NA,NA,115213000000.0,15560.0,NA,0.7,NA,NA,16713.988999999998,1821.691,8424.374,3730.257,2737.667,21254.757830000002,591498228010.3721,NA,1.2646,727525000000.0,1.2281,NA,357386000000.0,NA,NA,21861.737559999998,False
20,AUS,1990,1.902,76.99463,7.6,1.4799799999999999,0.1,14.567,403934000000.0,310838014621.008,53.610690000000005,3.56455,18214.83698,17333.096559999998,295791026108.555,126452000000.0,17300.0,16720.0,NA,1.36561,NA,16960.596999999998,1875.63,8594.780999999999,3746.4970000000003,2743.6890000000003,22829.40036,612582484286.0911,1.05087,1.28106,753458000000.0,1.2995,1.3862700000000001,389586000000.0,28658.365889999997,489057879755.127,23670.180659999998,False
21,AUS,1991,1.849,77.27561,7.1,1.2745799999999998,0.1,14.597000000000001,414539000000.0,325358292127.776,55.23225,-0.38755,18824.2474,17793.59849,307544556379.966,137672000000.0,18190.0,17070.0,NA,1.3479,NA,17189.24,1934.898,8749.857,3761.56,2742.925,23004.85999,610208442396.41,1.05792,1.28376,750538000000.0,1.2741,1.39125,397616000000.0,28185.7529,487162553129.243,23983.973619999997,False
22,AUS,1992,1.8880000000000001,77.37805,6.7,1.21339,0.1,14.715,422439000000.0,324878105052.68,56.0368,0.44261999999999996,18569.768790000002,18189.33568,318222427788.86,147296000000.0,18510.0,17480.0,NA,1.3275,NA,17402.173,1989.9679999999998,8887.819,3790.837,2733.5490000000004,23200.74307,612909321559.945,1.02092,1.36165,753860000000.0,1.3003,1.3808200000000002,405897000000.0,27969.06612,489318811708.416,24146.27036,False
23,AUS,1993,1.859,77.87805,6.3,0.97834,0.1,14.843,443368000000.0,311528948847.667,56.529759999999996,4.03908,17633.381380000003,19130.89259,337985479449.549,155185000000.0,18870.0,18610.0,NA,1.3118,NA,17603.205,2040.881,9016.062,3827.57,2718.692,24412.1243,637665212484.2261,0.9217200000000001,1.47056,784309000000.0,1.4232,1.3756,431289000000.0,28815.46298,509082784458.93896,25095.828380000003,False
24,AUS,1994,1.8419999999999999,77.87805,6.0,1.05851,0.1,14.972000000000001,465742000000.0,322201314424.075,57.11031,3.97853,18045.43906,20063.812830000003,358239378010.378,162964000000.0,18830.0,19610.0,NA,1.30009,NA,17798.529,2088.399,9148.376,3859.4770000000003,2702.277,25494.81938,663034939582.038,0.8994,1.36775,815513000000.0,1.4455,1.3690200000000001,455210000000.0,29646.41927,529336815977.45703,26084.68216,False
25,AUS,1995,1.8219999999999998,77.82927,5.8,1.20802,0.1,15.102,494567000000.0,367216364716.365,58.40823,3.8293699999999995,20319.63063,20894.39721,377603546320.219,172241000000.0,19250.0,20170.0,0.7,1.30975,NA,17993.074,2133.449,9292.225,3881.1690000000003,2686.2309999999998,26421.59141,688424992380.96,0.97249,1.34903,846742000000.0,1.3468,1.3780000000000001,477491000000.0,30412.07805,549607074607.497,27366.47853,False
26,AUS,1996,1.796,78.07805,5.6,1.31382,0.1,15.232999999999999,527599000000.0,400302731411.229,59.98279,3.8786300000000002,21861.32551,21972.05265,402330256116.17896,181945000000.0,20440.0,21190.0,NA,1.31136,NA,18189.277,2176.493,9446.62,3906.78,2659.384,27792.31063,715126459415.518,0.9949600000000001,1.27786,879584000000.0,1.318,1.37483,508905000000.0,31179.30787,570924306472.999,28813.22702,False
27,AUS,1997,1.778,78.48049,5.4,1.11873,0.1,15.364,555291000000.0,434568007512.91296,60.72258000000001,3.96642,23468.596830000002,22934.78601,424683432488.924,188066000000.0,21900.0,22160.0,NA,1.30754,NA,18387.214,2217.375,9616.423,3924.2859999999996,2629.13,28979.046280000002,743491381828.9409,1.02328,1.34738,914472000000.0,1.2778,1.3708200000000001,536605000000.0,32055.385060000004,593569565145.542,29988.17303,False
28,AUS,1998,1.7619999999999998,78.63171,5.3,1.04224,0.1,15.497,588097000000.0,398899138574.239,61.49551999999999,4.57674,21318.96417,24196.72128,452744851839.05,209976000000.0,21740.0,23430.0,NA,1.2989600000000001,NA,18587.021,2257.1079999999997,9794.273000000001,3936.759,2598.881,30438.40522,777519044571.69,0.88107,1.5918299999999999,956325000000.0,1.4743,1.37876,569533000000.0,33174.90765,620735697088.386,31430.54887,False
